Shop Code,Store Name,SKU,Product Name,Primary Category,POS Category,EAN,Available Quantity,Receiving Quantity,Departing Quantity
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0001001_S_1400dollars,[會員限定]$30 門市優惠券 [會員限定]$30 門市優惠券,AA11752000001,PSOSexcludecoupon;PSOS20240910exclude;PSOStampofreebie;PSOScouponexclude;PSOStai2024clearance95;PSOSyiu2024clearance95;PSOSexclude_2022;PSOSdec92off;PSOSwednesdayexclude;PSOSPSOSexclude_2025A;PSOSegg_EXEX_YIU;PSOSexclude_2025B;PSOSTAI_EX;PSOStestEX20250512;PSOSexclude_2022_2;PSOS88disountexclude;PSOStwhexclude,,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0001001_S_1500dollars,[特選會員限定] $30網上優惠券 [特選會員限定] $30網上優惠券,AA11752000001,PSOSexcludecoupon;PSOS20240910exclude;PSOSexclude_2022;PSOSdec92off;PSOSPSOSexclude_2025A;PSOSegg_EXEX_YIU;PSOSexclude_2025B;PSOSTAI_EX;PSOStestEX20250512;PSOScouponexclude;PSOSexclude_2022_2;PSOS88disountexclude;PSOStwhexclude,,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0001001_S_1700dollars,[春季樂賞] 門市消費印花 (Spring promotion) Stamp,AA11752000001,PSOSPSOSexclude_2025A;PSOSegg_EXEX_YIU;PSOSexclude_2025B,2277963993270,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0001001_S_1800dollars,[街市即日餸] 門市消費印花卡 (Wet Market Express) Stamp Card,AA11752000001,,2277963993271,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0001001_S_1900dollars,[春季樂賞] $50優惠券 (Spring promotion) $50 coupon,AA11752000001,,1277963993270,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0001001_S_plasticbag,HKTV 節慶福袋 Red Gift Bag,AA11750000000,PSOSPlastic_Bag;PSOS2021exclude;PSOSPSOS2022exclude;PSOSPSOS_SKU_Ex_Strawberry;PSOSSKUSKU1;PSOSbelow10;PSOSsscendex;PSOSALLXXXX;PSOS2023DEC_EX;PSOS20240214001;PSOScloseclearanceincludegg;PSOScloseclearanceexcludeegg;PSOScloseclearanceincludeegg;PSOS20240419Exclude;PSOS20240419001Exclude;PSOS20240910exclude;PSOSsav15offlast;PSOSngaexclude;PSOStwhexclude;PSOSexcludefruit;PSOStampofreebie;PSOScouponexclude;PSOStai2024clearance95;PSOSyiu2024clearance95;PSOSexclude_2022_2;PSOSexclude_2022;PSOSdec92off;PSOSwednesdayexclude;PSOSPSOSexclude_2025A;PSOSegg_EXEX_YIU;PSOSplasticbag;PSOSexclude_2025B;PSOSTAI_EX;PSOStestEX20250512;PSOS88disountexclude,2000010070336,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0001001_S_plasticbag1,背心膠袋-大碼 Plastic Bag - L,AA18054010001,PSOS_Main_O2OMaterial;PSOS2021exclude;PSOSPSOS2022exclude;PSOSPSOS_SKU_Ex_Strawberry;PSOSSKUSKU1;PSOSbelow10;PSOSex20230914;PSOSsscendex;PSOSALLXXXX;PSOS2023DEC_EX;PSOS20240214001;PSOScloseclearanceincludegg;PSOScloseclearanceexcludeegg;PSOScloseclearanceincludeegg;PSOS20240419Exclude;PSOS20240419001Exclude;PSOS20240910exclude;PSOSsav15offlast;PSOSngaexclude;PSOStwhexclude;PSOSexcludefruit;PSOStampofreebie;PSOScouponexclude;PSOStai2024clearance95;PSOSyiu2024clearance95;PSOSexclude_2022_2;PSOSexclude_2022;PSOSdec92off;PSOSwednesdayexclude;PSOSPSOSexclude_2025A;PSOSegg_EXEX_YIU;PSOSplasticbag;PSOSexclude_2025B;PSOSTAI_EX;PSOStestEX20250512;PSOS88disountexclude,2000010166152,-294,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0001001_S_plasticbag2,背心膠袋-細碼 Plastic Bag - S,AA18054010001,PSOS_Main_O2OMaterial;PSOS2021exclude;PSOSPSOS2022exclude;PSOSPSOS_SKU_Ex_Strawberry;PSOSSKUSKU1;PSOSbelow10;PSOSex20230914;PSOSsscendex;PSOSALLXXXX;PSOS2023DEC_EX;PSOS20240214001;PSOScloseclearanceincludegg;PSOScloseclearanceexcludeegg;PSOScloseclearanceincludeegg;PSOS20240419Exclude;PSOS20240419001Exclude;PSOS20240910exclude;PSOSsav15offlast;PSOSngaexclude;PSOStwhexclude;PSOSexcludefruit;PSOStampofreebie;PSOScouponexclude;PSOStai2024clearance95;PSOSyiu2024clearance95;PSOSexclude_2022_2;PSOSexclude_2022;PSOSdec92off;PSOSwednesdayexclude;PSOSPSOSexclude_2025A;PSOSegg_EXEX_YIU;PSOSplasticbag;PSOSexclude_2025B;PSOSTAI_EX;PSOStestEX20250512;PSOS88disountexclude,2000010166169,-124,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0888001_S_10000034,蘋果綠茶 Apple Green Tea,AA11224515001,PSOSGrocery;PSOS20210811_0824_RGS;PSOS_Main_Beverage;PSOSthankful_week4_88list;PSOSMTK_Grocery;PSOSSummerDrinks;PSOSmegaelderly;PSOSonshelf11;PSOSonshelf42;PSOSonshelf111826;PSOSonshelf12021;PSOSonshelf122313;PSOSCPF_Clearance_20221221;PSOSonshelf123013;PSOSVitasoy-CNYCampaign;PSOSon-shelf20230203;PSOSPummyFrankie30_3;PSOSPSOS_SKU_Ex_Strawberry;PSOS2023022010;PSOSVitasoyfullsku;PSOS2023031412;PSOSvitasoyyyyyy;PSOS2023032822;PSOScai-eng-10off;PSOSQWP-eng-10off;PSOSallskuid;PSOS2023041706;PSOS2023041716;PSOSvitavita;PSOSfullvit;PSOS2023043003;PSOSSKUSKU1;PSOSRAYVitaFullSKUList;PSOSVitasoyFullSKUList-12-18May;PSOS2023053103;PSOS2023060603;PSOSAlldrinks;PSOS2023061901;PSOS2023063005;PSOSrecyclingprogarm;PSOS2023071106;PSOSdrinklist;PSOSEnjoya5discountwhenpurchasingdrinksitemsworth50;PSOSDrink202309;PSOScit1025;PSOS24112023Drinklist;PSOSEC2023120102;PSOSEC20231206;PSOSGN20241214DL;PSOSBuy3orabovedrinks;PSOSEC2023122810;PSOSEC2023122822;PSOSmegadrink;PSOSEC2024020131;PSOSEC2024022602;PSOSEC2024022634;PSOS2024030701;PSOSEC2024032738;PSOSEC2024032746;PSOSEC2024032754;PSOSEC2024032767;PSOSEC2024042503;PSOSEC2024042520;PSOSEC2024042527;PSOS20240426001;PSOSEC2024052910;PSOSmegaclearance02072024;PSOSEC2024090204;PSOSEC2024090226;PSOSEC2024090240;PSOSEC2024102515;PSOSEC2024102524;PSOSEC2024102550,4891028667834,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0888001_S_10001443,安城湯麵 An Sung Soup Noodle,AA11354005001,PSOS23_25_SWH;PSOS_Main_Noodles_Grocery;PSOSPSOS_SKU_Ex_Strawberry;PSOScai-eng-10off;PSOSallskuid;PSOSSKUSKU1;PSOSmeganoodies;PSOSInstantNoodle;PSOSEnjoya5discountwhenpurchasingNoodlesworth50;PSOSnoddlesbuy2get8off;PSOScit1025;PSOSmeganoodlie;PSOS04012024noodlie;PSOSmegaclearance02072024;PSOSElderlyProgram,8801043014786;8801043052511,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0888001_S_10001471,正宗韓版辛辣麵 Shin Spicy Noodle (KR Version),AA11354005001,PSOS23_25_SWH;PSOS20210811_0824_RGS;PSOS_Main_Noodles_Grocery;PSOSMTK_Grocery;PSOSCPF_Clearance_20221221;PSOSPSOS_SKU_Ex_Strawberry;PSOScai-eng-10off;PSOSQWP-eng-10off;PSOSallskuid;PSOSSKUSKU1;PSOScpfdiscount;PSOSmeganoodies;PSOSInstantNoodle;PSOSEnjoya5discountwhenpurchasingNoodlesworth50;PSOSnoddlesbuy2get8off;PSOScit1025;PSOSmeganoodlie;PSOS04012024noodlie;PSOSmegaclearance02072024;PSOSElderlyProgram,031146157365;31146157365;8801043021883,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0888001_S_10001516,韓式炆牛肋骨醬 Korean Stewed Beef Ribs Sauce,AA11452015001,PSOSGrocery;PSOSSeasoning;PSOSSeasoning10off;PSOS23_25_SWH;PSOS_Main_Seasoning_Grocery;PSOSPSOS_SKU_Ex_Strawberry;PSOScai-eng-10off;PSOSallskuid;PSOSSKUSKU1;PSOSmegaclearance02072024;PSOSElderlyProgram,18801005931189;8801005931182,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0888001_S_10001650,有機西梅 ORGANIC PITTED PRUNE BAGGED,AA11158510001,PSOS_Main_Snacks_Grocery;PSOSjess_SKU;PSOSPSOS_SKU_Ex_Strawberry;PSOSallskuid;PSOSSKUSKU1;PSOScpfdiscount;PSOSsnack8off;PSOS202307270c8;PSOSEnjoya5discountwhenpurchasingsnacksworth50;PSOSmegasnack;PSOSmegaclearance02072024;PSOSyiu25off;PSOSyiuend50off;PSOSPSOStaiclearance50off;PSOSElderlyProgram,10723153632504;723153632507,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0888001_S_10001904,抗菌倍護迷你紙手巾 Petit Protect Disinfectant Handkerchiefs,AA11802000001,PSOSGrocery;PSOS_Main_Tissue_Nonfood;PSOSthankful_week4_88list;PSOSBMSM_Tempo_Hanky;PSOSTempo50_3;PSOSMTK_Grocery;PSOSROC-house;PSOSPSOS_SKU_Ex_Strawberry;PSOScai-eng-10off;PSOSallskuid;PSOSSKUSKU1;PSOSBuy2Personalcare;PSOStempo0119;PSOSmegaclearance02072024;PSOSElderlyProgram,4897024510464,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0888001_S_10002194,"罐裝生啤(日本版) Beer can  ",AA11301180001,PSOS92Off_wine;PSOSWine10off;PSOS23_25_YMT;PSOS23_25_ONE;PSOS20210811_0824_RGS;PSOS_Main_Wine;PSOSWine13DECto2JAN;PSOSMTK_Grocery;PSOSjess_SKU;PSOSCPF_Clearance_20221221;PSOSPSOS_SKU_Ex_Strawberry;PSOScai-eng-10off;PSOSallskuid;PSOSSKUSKU1;PSOSwine0707;PSOSwine1707;PSOScit1025;PSOSmegaclearance02072024;PSOS2024101802;PSOSElderlyProgram,4901004006721,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0888001_S_10002662,越式魚露 Gluten-free Premium Anchovy Sauce,AA11455030001,PSOSSeasoning;PSOSSeasoning10off;PSOS23_25_SWH;PSOS_Main_Seasoning_Grocery;PSOSPSOS_SKU_Ex_Strawberry;PSOSallskuid;PSOSSKUSKU1;PSOSmegaclearance02072024_3;PSOSElderlyProgram,849991000039;8857118730693,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0888001_S_10002912,棉花棒 Cotton Sticks (Round Container),AA13200580001,PSOSGrocery;PSOS20210811_0824_RGS;PSOS_Main_PersonalCare_Nonfood;PSOSMTK_Grocery;PSOSW1_Coupon_PersonalCare;PSOSshop_Sall_PC_5off;PSOSPSOS_SKU_Ex_Strawberry;PSOScai-eng-10off;PSOSallskuid;PSOSQWP-eng-10off;PSOSSKUSKU1;PSOSBuy2Personalcare;PSOScit1025;PSOSPersonalCarebuy28off;PSOSmegaclearance02072024_2,4973560075756,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0888001_S_10003063,煮食紙牛油紙 Non-Stick Cooking Paper,AA11803500001,PSOS20210811_0824_RGS;PSOS_Main_Tissue_Nonfood;PSOSMTK_Grocery;PSOSYIU_Household;PSOSYIU302;PSOSROC-house;PSOSPSOS_SKU_Ex_Strawberry;PSOScai-eng-10off;PSOSQWP-eng-10off;PSOSallskuid;PSOSSKUSKU1;PSOScit1025;PSOSmegaclearance02072024;PSOSElderlyProgram,012587603178;12587603178,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0888001_S_10003298,純豆漿(無添加糖) Pure Soya Bean Extract (No Sugar Added),AA11223000001,PSOSGrocery;PSOS_Main_Beverage;PSOSthankful_week4_88list;PSOSMTK_Grocery;PSOSonshelf17;PSOSonshelf47;PSOSonshelf12021;PSOSonshelf120921;PSOSVitasoy-SoyaBeanMilk-1L;PSOSonshelf122320;PSOSonshelf123021;PSOSVitaVitasoy;PSOSVitasoy-CNYCampaign;PSOSPummyFrankie30_3;PSOSPSOS_SKU_Ex_Strawberry;PSOS2023022716;PSOSVitasoyfullsku;PSOSvitasoyyyyyy;PSOS2023032115;PSOScai-eng-10off;PSOSQWP-eng-10off;PSOSallskuid;PSOSvitavita;PSOSfullvit;PSOSSKUSKU1;PSOSRAYVitaFullSKUList;PSOSVitasoyFullSKUList-12-18May;PSOSAlldrinks;PSOS2023063010;PSOSrecyclingprogarm;PSOSdrinklist;PSOSEnjoya5discountwhenpurchasingdrinksitemsworth50;PSOSDrink202309;PSOScit1025;PSOS24112023Drinklist;PSOSGN20241214DL;PSOSBuy3orabovedrinks;PSOSEC2023122821;PSOSmegadrink;PSOSEC2024020131;PSOS2024030701;PSOSEC2024032773;PSOS20240426001;PSOSmegaclearance02072024;PSOSEC2024090211;PSOSEC2024090221,4891028164814,0,0,0
ABC,Aberdeen - Aberdeen Centre Pharse 2 O2O Shop 香港仔 - 香港仔中心O2O店,H0888001_S_10003308,高鈣大豆植物固醇飲品(原味) Hi-Calcium Soya Healthy Drink,AA11223000001,PSOSoutlet20;PSOSoutlet30;PSOS_Main_Beverage;PSOSMTK_Grocery;PSOSDarinCalciplus;PSOSSelinaMKT;PSOSmegaelderly;PSOSonshelf111828;PSOSonshelf12021;PSOSonshelf120918;PSOSonshelf122319;PSOSonshelf123019;PSOSBUYFTP52;PSOSVitasoy-CNYCampaign;PSOSPSOS_SKU_Ex_Strawberry;PSOS2023022714;PSOSVitasoyfullsku;PSOSvitasoyyyyyy;PSOS2023032113;PSOS2023041108;PSOSallskuid;PSOS2023041710;PSOS2023041723;PSOSvitavita;PSOSfullvit;PSOSSKUSKU1;PSOSRAYVitaFullSKUList;PSOSVitasoyFullSKUList-12-18May;PSOS2023050907;PSOS2023053108;PSOS2023060607;PSOSAlldrinks;PSOS2023061408;PSOS2023061906;PSOSrecyclingprogarm;PSOS2023071109;PSOS2023071818;PSOS2023071822;PSOSdrinklist;PSOSEnjoya5discountwhenpurchasingdrinksitemsworth50;PSOSDrink202309;PSOS24112023Drinklist;PSOSEC2023120116;PSOSEC2023120123;PSOSCAR_inventory_record;PSOSGN20241214DL;PSOSBuy3orabovedrinks;PSOSEC2023122814;PSOSEC2023122820;PSOSmegadrink;PSOSEC2024020110;PSOSEC2024020122;PSOSEC2024020139;PSOSEC2024022613;PSOSEC2024022623;PSOSEC2024022637;PSOS2024030701;PSOSEC2024032750;PSOSEC2024032760;PSOSEC2024032771;PSOSEC2024042516;PSOSEC2024042528;PSOS20240426001;PSOSEC2024052908;PSOSEC2024052913;PSOSEC2024052927;PSOSmegaclearance02072024;PSOSEC2024090209;PSOSEC2024090220;PSOSEC2024102537;PSOSEC2024102554;PSOS2025050101;PSOS20250515b;PSOS20250530a;PSOSaddon2;PSOSElderlyProgram,4891028705604,2,0,0
