posOrderNumber,posReturnNumber,refundAmount,totalRefundValue,refundMethod,transactionDate
OLY0120251005123937,OLY0120251117110046V,39.9,39.9,QR_CODE_VOID_TRANSACTION,2025-11-17T11:00:46+08:00
OLY0120251005124245,OLY0120251117110047V,118,118,BANK_IN,2025-11-17T11:00:47+08:00
OLY0120251005143757,OLY0120251117110048V,407.3,407.3,CREDIT_CARD_VOID_TRANSACTION,2025-11-17T11:00:48+08:00
OLY0120251005165416,OLY0120251117110049V,216,216,BANK_IN,2025-11-17T11:00:49+08:00
OLY0120251005170142,OLY0120251117110050V,98,98,BANK_IN,2025-11-17T11:00:50+08:00
OLY0120251005182824,OLY0120251117110051V,68.8,68.8,BANK_IN,2025-11-17T11:00:51+08:00
OLY0120251005193959,OLY0120251117110052V,388.7,388.7,CREDIT_CARD_VOID_TRANSACTION,2025-11-17T11:00:52+08:00
QWP0220251005113236,QWP0220251117110053V,13,13,BANK_IN,2025-11-17T11:00:53+08:00
QWP0220251005130747,QWP0220251117110054V,179.7,179.7,QR_CODE_VOID_TRANSACTION,2025-11-17T11:00:54+08:00
QWP0220251005200742,QWP0220251117110055V,79.9,79.9,BANK_IN,2025-11-17T11:00:55+08:00
STL0120251005163919,STL0120251117110056V,22.9,22.9,BANK_IN,2025-11-17T11:00:56+08:00
WCR0020251005140500,WCR0020251117110057V,159.8,159.8,CREDIT_CARD_VOID_TRANSACTION,2025-11-17T11:00:57+08:00
WCR0020251005190108,WCR0020251117110058V,88,88,BANK_IN,2025-11-17T11:00:58+08:00
WCR0020251005202921,WCR0020251117110059V,19.9,19.9,BANK_IN,2025-11-17T11:00:59+08:00
WME0020251005132130,WME0020251117110100V,13,13,BANK_IN,2025-11-17T11:01:00+08:00
WME0020251005132552,WME0020251117110101V,79,79,BANK_IN,2025-11-17T11:01:01+08:00
WME0020251005145149,WME0020251117110102V,28.8,28.8,BANK_IN,2025-11-17T11:01:02+08:00
WME0020251005161404,WME0020251117110103V,79,79,QR_CODE_VOID_TRANSACTION,2025-11-17T11:01:03+08:00
WME0020251005161453,WME0020251117110104V,79,79,QR_CODE_VOID_TRANSACTION,2025-11-17T11:01:04+08:00
WME0020251005165651,WME0020251117110105V,78,78,BANK_IN,2025-11-17T11:01:05+08:00
WME0020251005184642,WME0020251117110106V,138.9,138.9,BANK_IN,2025-11-17T11:01:06+08:00
WME0020251005192720,WME0020251117110107V,118,118,BANK_IN,2025-11-17T11:01:07+08:00
